order_id,order_date,customer_id,product_id,product_category,country,region,currency_code,sales_channel,payment_method,quantity,unit_price_local,cost_per_unit_local,discount_pct
ORDAUS0010811,11/03/2025,CUST00474,PROD0126,Home,Australia,Asia-Pacific,AUD,Online,Apple Pay,2,419.21,207.58,0.07
ORDAUS0010812,02/05/2025,CUST00350,PROD0123,Home,Australia,Asia-Pacific,AUD,Online,Google Pay,9,513.55,254.8,0.08
ORDAUS0010812,01/20/2025,CUST00363,PROD0167,Beauty,Australia,Asia-Pacific,AUD,Online,Bank Transfer,6,100.92,45.77,0.16
ORDAUS0010813,06/11/2025,CUST00406,PROD0167,Beauty,Australia,Asia-Pacific,AUD,Online,Card,8,55.84,17.96,0.3
ORDAUS0010814,2025-07-22,CUST00437,PROD0097,Fashion,Australia,Asia-Pacific,AUD,Online,Google Pay,10,192.1,103.93,0.13
ORDAUS0010815,2025-09-21,CUST00306,PROD0057,Electronics,Australia,Asia-Pacific,AUD,In-Store,Card,8,1822.45,1044.93,0.18
ORDAUS0010816,2025-10-24,CUST00214,PROD0024,Electronics,Australia,Asia-Pacific,AUD,Online,Bank Transfer,2,799.96,495.84,0.28
ORDAUS0010817,10/14/2025,CUST00024,PROD0052,Electronics,Australia,Asia-Pacific,AUD,Mobile,Bank Transfer,2,1366.34,722.51,0.26
ORDAUS0010817,02/18/2025,CUST00181,PROD0130,Home,Australia,Asia-Pacific,AUD,Online,PayPal,9,560.38,298.19,0.13
ORDAUS0010818,2025-03-11,CUST00057,PROD0025,Electronics,Australia,Asia-Pacific,AUD,In-Store,Apple Pay,3,1427.59,924.23,0.09
ORDAUS0010819,01/04/2025,CUST00349,PROD0146,Beauty,Australia,Asia-Pacific,AUD,Online,Google Pay,2,26.75,10.33,0.03
ORDAUS0010820,10/18/2025,CUST00231,PROD0078,Fashion,Australia,Asia-Pacific,AUD,Online,Card,1,203.55,86.44,0.08
ORDAUS0010821,2025-01-14,CUST00457,PROD0016,Electronics,Australia,Asia-Pacific,AUD,Online,Card,2,2187.16,1181.12,0.17
ORDAUS0010822,03/06/2025,CUST00098,PROD0085,Fashion,Australia,Asia-Pacific,AUD,Online,Card,6,324.43,142.52,0.12
ORDAUS0010823,03/27/2025,CUST00173,PROD0179,Sports,Australia,Asia-Pacific,AUD,Online,PayPal,9,280.23,138.36,0.05
ORDAUS0010824,10/22/2025,CUST00348,PROD0163,Beauty,Australia,Asia-Pacific,AUD,Online,Card,-1,97.96,48.91,0.16
ORDAUS0010825,07/16/2025,CUST00299,PROD0030,Electronics,Australia,Asia-Pacific,AUD,Online,Apple Pay,-2,371.16,213.47,0.26
ORDAUS0010826,2025-09-20,CUST00009,PROD0088,Fashion,Australia,Asia-Pacific,AUD,Online,Card,5,124.87,62.95,0.22
ORDAUS0010827,2025-02-18,CUST00462,PROD0150,Beauty,Australia,Asia-Pacific,AUD,Mobile,Google Pay,4,130.4,58.71,0.07
ORDAUS0010828,07/04/2025,CUST00210,PROD0010,Electronics,Australia,Asia-Pacific,AUD,In-Store,PayPal,1,1998.44,1186.44,0.19
ORDAUS0010829,2025-10-25,CUST00321,PROD0153,Beauty,Australia,Asia-Pacific,AUD,Online,Card,6,83.38,37.04,0.06
ORDAUS0010830,12/04/2025,CUST00452,PROD0111,Home,Australia,Asia-Pacific,AUD,Mobile,PayPal,2,202.87,98.98,0.11
ORDAUS0010831,2025-07-27,CUST00396,PROD0035,Electronics,Australia,Asia-Pacific,AUD,Mobile,Card,6,2138.19,1328.37,0.06
ORDAUS0010832,2025-01-08,CUST00110,PROD0101,Fashion,Australia,Asia-Pacific,AUD,In-Store,Card,4,297.52,138.46,0.27
ORDAUS0010833,06/10/2025,CUST00421,PROD0126,Home,Australia,Asia-Pacific,AUD,Online,Bank Transfer,9,408.18,201.97,0.17
ORDAUS0010834,01/21/2025,CUST00388,PROD0044,Electronics,Australia,Asia-Pacific,AUD,Online,Bank Transfer,5,1531.8,882.67,0.17
ORDAUS0010835,12/04/2025,CUST00254,PROD0137,Home,Australia,Asia-Pacific,AUD,Online,Card,7,391.0,185.01,0.19
ORDAUS0010836,11/02/2025,CUST00320,PROD0173,Beauty,Australia,Asia-Pacific,AUD,Online,Bank Transfer,10,59.68,23.17,0.1
ORDAUS0010837,2025-05-11,CUST00434,PROD0047,Electronics,Australia,Asia-Pacific,AUD,Online,Cash,8,1765.29,991.22,0.1
ORDAUS0010838,2025-01-08,CUST00238,PROD0151,Beauty,Australia,Asia-Pacific,AUD,In-Store,Bank Transfer,6,151.59,66.87,0.25
ORDAUS0010839,07/09/2025,CUST00152,PROD0041,Electronics,Australia,Asia-Pacific,AUD,In-Store,Google Pay,9,2062.46,1176.96,0.18
ORDAUS0010840,2025-02-19,CUST00452,PROD0015,Electronics,Australia,Asia-Pacific,AUD,In-Store,Bank Transfer,9,739.96,482.46,0.14
ORDAUS0010841,11/02/2025,CUST00351,PROD0106,Home,Australia,Asia-Pacific,AUD,Online,Apple Pay,1,121.46,55.71,0.22
ORDAUS0010841,05/09/2025,CUST00332,PROD0039,Electronics,Australia,Asia-Pacific,AUD,Online,Bank Transfer,4,1778.51,1182.85,
ORDAUS0010842,04/06/2025,CUST00309,PROD0020,Electronics,Australia,Asia-Pacific,AUD,In-Store,Card,-3,1200.58,719.71,0.14
ORDAUS0010843,26/09/2025,CUST00053,PROD0124,Home,Australia,Asia-Pacific,AUD,Online,Google Pay,10,411.22,213.76,0.2
ORDAUS0010844,12/02/2025,CUST00244,PROD0106,Home,Australia,Asia-Pacific,AUD,In-Store,Cash,4,297.72,158.93,0.28
ORDAUS0010845,15/05/2025,CUST00096,PROD0148,Beauty,Australia,Asia-Pacific,AUD,Online,Apple Pay,5,132.29,59.86,0.01
ORDAUS0010846,05/05/2025,CUST00400,PROD0115,Home,Australia,Asia-Pacific,AUD,In-Store,Card,4,110.56,59.55,0.21
