order_id,order_date,customer_id,product_id,product_category,country,region,currency_code,sales_channel,payment_method,quantity,unit_price_local,cost_per_unit_local,discount_pct
ORDBRA0017659,11/10/2025,CUST00307,PROD0127,Home,Brazil,Latin America,BRL,Online,PayPal,1,117.23,49.65,0.23
ORDBRA0017660,03/07/2025,CUST00442,PROD0114,Home,Brazil,Latin America,BRL,In-Store,Bank Transfer,6,149.21,63.26,0.08
ORDBRA0017661,2025-05-26,CUST00163,PROD0097,Fashion,Brazil,Latin America,BRL,Mobile,PayPal,2,45.93,24.87,0.07
ORDBRA0017662,2025-02-05,CUST00432,PROD0179,Sports,Brazil,Latin America,BRL,Online,PayPal,1,174.13,88.26,0.04
ORDBRA0017663,09/11/2025,CUST00114,PROD0080,Fashion,Brazil,Latin America,BRL,In-Store,Card,6,91.19,46.64,0.04
ORDBRA0017664,10/09/2025,CUST00270,PROD0035,Electronics,Brazil,Latin America,BRL,Mobile,Card,7,196.72,106.61,0.03
ORDBRA0017665,18/07/2025,CUST00198,PROD0025,Electronics,Brazil,Latin America,BRL,Online,PayPal,5,1934.47,1057.11,0.25
ORDBRA0017666,05/11/2025,CUST00330,PROD0152,Beauty,Brazil,Latin America,BRL,In-Store,Cash,9,34.46,12.04,0.21
ORDBRA0017667,2025-01-19,CUST00309,PROD0025,Electronics,Brazil,Latin America,BRL,Online,PayPal,3,2235.09,1234.0,0.08
ORDBRA0017668,04/07/2025,CUST00313,PROD0126,Home,Brazil,Latin America,BRL,Online,Bank Transfer,7,520.47,257.35,0.15
ORDBRA0017669,02/12/2025,CUST00423,PROD0141,Home,Brazil,Latin America,BRL,Online,PayPal,4,385.78,198.32,0.2
ORDBRA0017670,10/21/2025,CUST00023,PROD0152,Beauty,Brazil,Latin America,BRL,Online,Cash,5,83.93,37.65,0.0
ORDBRA0017671,11/01/2025,CUST00321,PROD0181,Sports,Brazil,Latin America,BRL,In-Store,Bank Transfer,9,332.16,158.18,0.27
ORDBRA0017672,06/19/2025,CUST00143,PROD0134,Home,Brazil,Latin America,BRL,Online,PayPal,6,340.75,188.97,0.08
ORDBRA0017673,11/16/2025,CUST00148,PROD0054,Electronics,Brazil,Latin America,BRL,In-Store,Apple Pay,9,835.34,484.77,0.23
ORDBRA0017674,2025-11-21,CUST00162,PROD0014,Electronics,Brazil,Latin America,BRL,Online,PayPal,8,434.91,289.05,0.13
ORDBRA0017675,2025-05-26,CUST00422,PROD0050,Electronics,Brazil,Latin America,BRL,Online,Google Pay,10,1645.7,1089.57,0.26
ORDBRA0017676,2025-06-13,CUST00001,PROD0187,Sports,Brazil,Latin America,BRL,In-Store,Bank Transfer,7,266.26,107.02,0.27
ORDBRA0017677,06/09/2025,CUST00129,PROD0017,Electronics,Brazil,Latin America,BRL,Online,Card,8,724.84,385.88,0.21
ORDBRA0017678,2025-04-05,CUST00412,PROD0086,Fashion,Brazil,Latin America,BRL,Mobile,Google Pay,1,275.43,150.26,0.04
ORDBRA0017679,10/12/2025,CUST00291,PROD0018,Electronics,Brazil,Latin America,BRL,Online,Card,9,2213.03,1146.69,0.18
ORDBRA0017680,27/12/2025,CUST00412,PROD0187,Sports,Brazil,Latin America,BRL,Online,Google Pay,1,207.11,97.57,0.02
ORDBRA0017681,2025-10-23,CUST00180,PROD0012,Electronics,Brazil,Latin America,BRL,Mobile,Card,2,2469.71,1616.73,0.15
ORDBRA0017682,2025-09-03,CUST00216,PROD0021,Electronics,Brazil,Latin America,BRL,In-Store,Google Pay,9,1150.05,604.67,0.01
ORDBRA0017683,25/12/2025,CUST00296,PROD0105,Fashion,Brazil,Latin America,BRL,In-Store,Google Pay,10,80.39,36.62,0.15
ORDBRA0017684,2025-07-18,CUST00117,PROD0142,Home,Brazil,Latin America,BRL,In-Store,Bank Transfer,7,467.08,201.34,0.05
ORDBRA0017685,2025-01-14,CUST00125,PROD0090,Fashion,Brazil,Latin America,BRL,In-Store,Bank Transfer,1,39.53,21.12,0.17
ORDBRA0017686,05/01/2025,CUST00077,PROD0154,Beauty,Brazil,Latin America,BRL,Mobile,Apple Pay,3,119.72,45.81,0.01
ORDBRA0017687,04/23/2025,CUST00296,PROD0127,Home,Brazil,Latin America,BRL,Online,Card,10,340.45,185.01,0.05
ORDBRA0017688,20/06/2025,CUST00206,PROD0141,Home,Brazil,Latin America,BRL,In-Store,Card,2,516.13,228.61,0.06
ORDBRA0017689,09/09/2025,CUST00464,PROD0030,Electronics,Brazil,Latin America,BRL,In-Store,Google Pay,6,1159.34,641.55,0.15
ORDBRA0017690,05/06/2025,CUST00372,PROD0045,Electronics,Brazil,Latin America,BRL,Online,Card,7,889.54,586.77,0.04
ORDBRA0017691,01/06/2025,CUST00401,PROD0130,Home,Brazil,Latin America,BRL,Mobile,Apple Pay,4,43.58,20.1,0.06
