order_id,order_date,customer_id,product_id,product_category,country,region,currency_code,sales_channel,payment_method,quantity,unit_price_local,cost_per_unit_local,discount_pct
ORDCAN0008347,10/07/2025,CUST00230,PROD0079,Fashion,Canada,North America,CAD,In-Store,Apple Pay,8,66.34,35.27,0.04
ORDCAN0008348,26/04/2025,CUST00043,PROD0072,Fashion,Canada,North America,CAD,In-Store,Bank Transfer,9,241.58,99.17,0.14
ORDCAN0008349,08/11/2025,CUST00193,PROD0026,Electronics,Canada,North America,CAD,Online,Apple Pay,2,1711.39,1101.17,0.28
ORDCAN0008350,23/04/2025,CUST00212,PROD0120,Home,Canada,North America,CAD,Mobile,Card,8,71.61,38.75,0.08
ORDCAN0008351,2025-02-18,CUST00440,PROD0172,Beauty,Canada,North America,CAD,In-Store,Google Pay,1,99.92,33.24,0.29
ORDCAN0008352,03/28/2025,CUST00251,PROD0168,Beauty,Canada,North America,CAD,Online,Card,1,114.9,56.13,0.02
ORDCAN0008353,01/27/2025,CUST00463,PROD0033,Electronics,Canada,North America,CAD,In-Store,Card,6,1109.82,717.26,0.15
ORDCAN0008354,07/12/2025,CUST00426,PROD0103,Fashion,Canada,North America,CAD,In-Store,Card,8,368.12,187.67,0.08
ORDCAN0008355,10/02/2025,CUST00193,PROD0033,Electronics,Canada,North America,CAD,In-Store,Card,7,1607.33,1061.11,0.11
ORDCAN0008356,2025-05-09,CUST00077,PROD0063,Fashion,Canada,North America,CAD,In-Store,Apple Pay,2,224.34,120.14,0.07
ORDCAN0008357,25/01/2025,CUST00153,PROD0152,Beauty,Canada,North America,CAD,Mobile,Bank Transfer,9,128.89,51.86,0.03
ORDCAN0008358,01/16/2025,CUST00198,PROD0014,Electronics,Canada,North America,CAD,In-Store,Card,9,2469.7,1622.25,0.09
ORDCAN0008359,2025-09-22,CUST00486,PROD0037,Electronics,Canada,North America,CAD,Online,Card,2,1108.96,703.71,0.26
ORDCAN0008360,03/09/2025,CUST00104,PROD0111,Home,Canada,North America,CAD,In-Store,Apple Pay,3,497.33,273.27,0.16
ORDCAN0008361,01/18/2025,CUST00468,PROD0142,Home,Canada,North America,CAD,In-Store,PayPal,6,485.43,221.45,0.21
ORDCAN0008362,04/25/2025,CUST00162,PROD0144,Home,Canada,North America,CAD,Mobile,Card,1,50.57,29.26,0.17
ORDCAN0008363,11/12/2025,CUST00340,PROD0043,Electronics,Canada,North America,CAD,Online,Bank Transfer,10,1264.89,726.24,0.12
ORDCAN0008364,07/13/2025,CUST00274,PROD0052,Electronics,Canada,North America,CAD,Online,Apple Pay,3,1571.7,1054.09,0.04
ORDCAN0008365,22/01/2025,CUST00037,PROD0178,Sports,Canada,North America,CAD,In-Store,Apple Pay,5,318.13,128.94,0.17
