order_id,order_date,customer_id,product_id,product_category,country,region,currency_code,sales_channel,payment_method,quantity,unit_price_local,cost_per_unit_local,discount_pct
ORDGER0005696,2025-03-04,CUST00193,PROD0023,Electronics,Germany,Europe,EUR,Online,Card,3,1515.81,928.43,0.19
ORDGER0005697,16/09/2025,CUST00331,PROD0023,Electronics,Germany,Europe,EUR,Online,PayPal,7,502.55,281.23,0.09
ORDGER0005698,24/11/2025,CUST00016,PROD0067,Fashion,Germany,Europe,EUR,Mobile,PayPal,8,108.78,51.17,0.16
ORDGER0005699,06/10/2025,CUST00010,PROD0125,Home,Germany,Europe,EUR,Online,Card,2,584.11,323.2,0.24
ORDGER0005700,01/01/2025,CUST00114,PROD0013,Electronics,Germany,Europe,EUR,Online,Bank Transfer,8,912.77,472.48,0.16
ORDGER0005701,2025-09-10,CUST00369,PROD0141,Home,Germany,Europe,EUR,In-Store,Cash,1,441.89,188.91,0.15
ORDGER0005702,10/06/2025,CUST00016,PROD0083,Fashion,Germany,Europe,EUR,Mobile,Card,2,199.59,108.57,0.26
ORDGER0005703,2025-09-21,CUST00311,PROD0074,Fashion,Germany,Europe,EUR,Online,Cash,3,282.0,118.92,
ORDGER0005704,20/05/2025,CUST00436,PROD0162,Beauty,Germany,Europe,EUR,In-Store,Bank Transfer,2,86.82,30.87,0.01
ORDGER0005705,16/01/2025,CUST00408,PROD0193,Sports,Germany,Europe,EUR,Mobile,Google Pay,6,296.32,154.73,0.06
ORDGER0005706,2025-05-16,CUST00299,PROD0092,Fashion,Germany,Europe,EUR,Online,Cash,1,387.01,168.82,0.02
ORDGER0005707,11/19/2025,CUST00312,PROD0096,Fashion,Germany,Europe,EUR,In-Store,Cash,1,98.49,51.39,0.11
ORDGER0005708,10/18/2025,CUST00045,PROD0158,Beauty,Germany,Europe,EUR,Online,Google Pay,3,82.4,33.36,0.25
ORDGER0005709,12/30/2025,CUST00309,PROD0069,Fashion,Germany,Europe,EUR,Mobile,PayPal,3,50.43,21.03,0.03
ORDGER0005710,03/21/2025,CUST00440,PROD0119,Home,Germany,Europe,EUR,In-Store,PayPal,5,588.94,319.19,0.03
ORDGER0005711,2025-11-30,CUST00149,PROD0027,Electronics,Germany,Europe,EUR,In-Store,Cash,9,1134.56,568.81,0.21
ORDGER0005712,08/21/2025,CUST00046,PROD0106,Home,Germany,Europe,EUR,Online,Card,6,417.86,221.51,0.27
ORDGER0005713,06/11/2025,CUST00336,PROD0138,Home,Germany,Europe,EUR,Online,Apple Pay,1,234.42,103.83,0.26
ORDGER0005714,19/08/2025,CUST00176,PROD0157,Beauty,Germany,Europe,EUR,Mobile,Cash,5,77.22,34.52,0.21
ORDGER0005715,2025-02-02,CUST00275,PROD0103,Fashion,Germany,Europe,EUR,Online,Card,9,77.8,33.78,
ORDGER0005716,10/02/2025,CUST00490,PROD0110,Home,Germany,Europe,EUR,Online,Bank Transfer,6,522.08,303.52,0.13
ORDGER0005717,29/03/2025,CUST00088,PROD0054,Electronics,Germany,Europe,EUR,Online,Card,9,1469.74,907.95,0.13
ORDGER0005718,10/15/2025,CUST00084,PROD0124,Home,Germany,Europe,EUR,Mobile,PayPal,9,291.8,165.64,0.23
ORDGER0005719,21/08/2025,CUST00422,PROD0099,Fashion,Germany,Europe,EUR,Mobile,Card,10,192.56,87.34,0.01
ORDGER0005720,2025-11-26,CUST00420,PROD0189,Sports,Germany,Europe,EUR,Online,PayPal,9,45.29,24.9,0.16
ORDGER0005721,03/12/2025,CUST00062,PROD0067,Fashion,Germany,Europe,EUR,Online,Card,9,86.72,36.42,0.11
ORDGER0005722,2025-12-09,CUST00340,PROD0050,Electronics,Germany,Europe,EUR,Online,Card,4,264.83,171.19,0.08
ORDGER0005698,07/03/2025,CUST00482,PROD0032,Electronics,Germany,Europe,EUR,In-Store,PayPal,2,359.37,207.83,0.12
ORDGER0005723,2025-01-14,CUST00352,PROD0178,Sports,Germany,Europe,EUR,Mobile,PayPal,6,170.59,86.89,0.26
ORDGER0005724,09/23/2025,CUST00136,PROD0172,Beauty,Germany,Europe,EUR,Mobile,Card,5,93.49,36.41,0.08
ORDGER0005725,02/24/2025,CUST00141,PROD0165,Beauty,Germany,Europe,EUR,Online,Card,8,121.55,41.14,0.22
ORDGER0005726,02/05/2025,CUST00459,PROD0200,Sports,Germany,Europe,EUR,In-Store,PayPal,10,83.03,42.73,0.21
ORDGER0005727,26/12/2025,CUST00148,PROD0082,Fashion,Germany,Europe,EUR,In-Store,Bank Transfer,8,203.97,82.94,0.11
ORDGER0005728,02/04/2025,CUST00347,PROD0130,Home,Germany,Europe,EUR,In-Store,Card,5,294.7,163.63,0.27
ORDGER0005729,10/04/2025,CUST00103,PROD0170,Beauty,Germany,Europe,EUR,Online,Bank Transfer,7,28.15,12.66,0.25
ORDGER0005730,24/02/2025,CUST00367,PROD0107,Home,Germany,Europe,EUR,In-Store,Card,3,318.43,176.73,0.26
ORDGER0005731,07/23/2025,CUST00177,PROD0191,Sports,Germany,Europe,EUR,In-Store,Apple Pay,3,288.68,124.47,0.15
ORDGER0005732,06/06/2025,CUST00152,PROD0021,Electronics,Germany,Europe,EUR,Online,Cash,6,554.43,358.81,
ORDGER0005733,21/04/2025,CUST00351,PROD0100,Fashion,Germany,Europe,EUR,In-Store,PayPal,9,308.33,140.62,0.28
ORDGER0005734,2025-10-20,CUST00330,PROD0081,Fashion,Germany,Europe,EUR,Online,Card,4,92.06,38.05,0.19
ORDGER0005735,05/11/2025,CUST00170,PROD0068,Fashion,Germany,Europe,EUR,Online,Card,9,236.61,104.39,0.1
ORDGER0005736,22/04/2025,CUST00062,PROD0091,Fashion,Germany,Europe,EUR,In-Store,Card,9,327.21,135.48,0.05
ORDGER0005737,2025-05-29,CUST00065,PROD0002,Electronics,Germany,Europe,EUR,In-Store,Card,7,1306.71,854.8,0.3
ORDGER0005738,10/14/2025,CUST00079,PROD0069,Fashion,Germany,Europe,EUR,Mobile,Card,1,277.66,114.13,0.16
ORDGER0005739,12/06/2025,CUST00039,PROD0117,Home,Germany,Europe,EUR,Online,Card,8,128.38,66.43,0.27
ORDGER0005740,04/03/2025,CUST00060,PROD0075,Fashion,Germany,Europe,EUR,Online,Apple Pay,8,227.13,101.08,0.07
ORDGER0005741,2025-05-03,CUST00301,PROD0078,Fashion,Germany,Europe,EUR,In-Store,PayPal,10,218.19,89.89,0.17
ORDGER0005742,04/17/2025,CUST00297,PROD0036,Electronics,Germany,Europe,EUR,Online,Card,7,875.21,450.45,0.12
ORDGER0005743,09/24/2025,CUST00050,PROD0080,Fashion,Germany,Europe,EUR,In-Store,PayPal,9,301.31,161.39,0.3
ORDGER0005744,2025-05-05,CUST00482,PROD0166,Beauty,Germany,Europe,EUR,In-Store,Apple Pay,2,65.53,26.77,0.28
ORDGER0005745,26/12/2025,CUST00045,PROD0074,Fashion,Germany,Europe,EUR,Mobile,Google Pay,3,78.26,35.98,0.07
ORDGER0005746,09/16/2025,CUST00282,PROD0164,Beauty,Germany,Europe,EUR,Online,Card,7,26.21,9.28,0.05
ORDGER0005747,2025-09-02,CUST00082,PROD0129,Home,Germany,Europe,EUR,Online,PayPal,10,594.5,293.3,0.12
ORDGER0005748,2025-03-26,CUST00424,PROD0106,Home,Germany,Europe,EUR,Mobile,Google Pay,9,65.97,30.13,0.13
ORDGER0005749,28/07/2025,CUST00108,PROD0097,Fashion,Germany,Europe,EUR,Online,Bank Transfer,4,196.21,83.96,0.16
ORDGER0005750,03/12/2025,CUST00432,PROD0178,Sports,Germany,Europe,EUR,Online,Apple Pay,6,35.25,17.48,0.26
ORDGER0005751,12/19/2025,CUST00143,PROD0104,Fashion,Germany,Europe,EUR,Online,Bank Transfer,1,343.14,146.71,0.16
ORDGER0005752,11/25/2025,CUST00115,PROD0074,Fashion,Germany,Europe,EUR,Online,PayPal,2,326.95,156.94,0.21
ORDGER0005753,08/28/2025,CUST00054,PROD0114,Home,Germany,Europe,EUR,Mobile,Card,6,341.1,143.89,
ORDGER0005754,2025-05-26,CUST00126,PROD0160,Beauty,Germany,Europe,EUR,In-Store,Apple Pay,3,31.63,15.79,0.13
ORDGER0005755,2025-10-01,CUST00476,PROD0041,Electronics,Germany,Europe,EUR,Online,Apple Pay,6,1533.18,977.97,0.19
ORDGER0005756,2025-10-20,CUST00226,PROD0055,Electronics,Germany,Europe,EUR,Online,Cash,7,1015.68,527.13,0.08
ORDGER0005757,2025-05-05,CUST00324,PROD0116,Home,Germany,Europe,EUR,Online,Cash,7,198.18,105.41,0.2
ORDGER0005758,01/04/2025,CUST00408,PROD0042,Electronics,Germany,Europe,EUR,Online,Card,1,1801.92,1171.92,0.04
ORDGER0005759,07/21/2025,CUST00470,PROD0040,Electronics,Germany,Europe,EUR,Online,PayPal,9,956.14,582.76,0.06
ORDGER0005760,04/30/2025,CUST00462,PROD0132,Home,Germany,Europe,EUR,Mobile,Card,2,380.52,227.49,0.21
ORDGER0005761,04/22/2025,CUST00479,PROD0122,Home,Germany,Europe,EUR,In-Store,Apple Pay,4,271.8,162.79,0.18
ORDGER0005762,11/27/2025,CUST00411,PROD0135,Home,Germany,Europe,EUR,Online,Bank Transfer,9,447.5,263.4,0.16
ORDGER0005763,2025-12-02,CUST00347,PROD0085,Fashion,Germany,Europe,EUR,Mobile,Cash,2,45.54,23.9,0.15
ORDGER0005764,05/21/2025,CUST00477,PROD0029,Electronics,Germany,Europe,EUR,Online,Bank Transfer,9,2269.22,1207.44,0.23
ORDGER0005765,25/06/2025,CUST00478,PROD0055,Electronics,Germany,Europe,EUR,Mobile,Bank Transfer,8,1903.75,990.4,0.12
ORDGER0005766,07/12/2025,CUST00495,PROD0172,Beauty,Germany,Europe,EUR,Mobile,Card,1,160.07,66.0,0.21
ORDGER0005715,10/12/2025,CUST00436,PROD0094,Fashion,Germany,Europe,EUR,In-Store,Google Pay,3,306.93,164.21,0.09
ORDGER0005767,03/29/2025,CUST00271,PROD0106,Home,Germany,Europe,EUR,Online,Card,7,53.91,31.2,0.04
ORDGER0005768,08/23/2025,CUST00101,PROD0118,Home,Germany,Europe,EUR,In-Store,Bank Transfer,8,558.94,328.46,0.04
ORDGER0005769,01/27/2025,CUST00200,PROD0058,Electronics,Germany,Europe,EUR,Online,Card,6,533.09,280.12,
ORDGER0005770,05/09/2025,CUST00129,PROD0007,Electronics,Germany,Europe,EUR,In-Store,PayPal,5,2030.24,1231.48,0.22
ORDGER0005771,11/22/2025,CUST00405,PROD0062,Fashion,Germany,Europe,EUR,In-Store,Google Pay,7,244.7,118.23,
ORDGER0005772,2025-12-11,CUST00420,PROD0147,Beauty,Germany,Europe,EUR,Online,Apple Pay,7,132.7,66.27,0.17
ORDGER0005773,2025-04-20,CUST00278,PROD0082,Fashion,Germany,Europe,EUR,In-Store,Bank Transfer,6,109.62,46.62,0.06
ORDGER0005774,26/06/2025,CUST00135,PROD0140,Home,Germany,Europe,EUR,Online,Card,-2,575.64,341.69,0.04
ORDGER0005775,01/04/2025,CUST00140,PROD0140,Home,Germany,Europe,EUR,In-Store,PayPal,5,228.79,105.89,0.22
ORDGER0005776,30/04/2025,CUST00283,PROD0150,Beauty,Germany,Europe,EUR,Online,Google Pay,6,40.97,13.35,0.26
ORDGER0005777,2025-12-17,CUST00144,PROD0119,Home,Germany,Europe,EUR,Online,Apple Pay,5,226.57,126.66,0.23
ORDGER0005778,27/03/2025,CUST00059,PROD0187,Sports,Germany,Europe,EUR,In-Store,Card,9,221.67,89.16,0.11
ORDGER0005779,2025-09-01,CUST00462,PROD0141,Home,Germany,Europe,EUR,Online,Bank Transfer,10,229.4,125.97,
ORDGER0005780,2025-03-23,CUST00490,PROD0046,Electronics,Germany,Europe,EUR,Mobile,Apple Pay,9,2018.79,1221.96,0.14
ORDGER0005781,2025-01-15,CUST00344,PROD0161,Beauty,Germany,Europe,EUR,Online,Card,4,98.3,34.7,0.02
ORDGER0005782,02/26/2025,CUST00437,PROD0066,Fashion,Germany,Europe,EUR,In-Store,Card,9,357.31,142.6,0.0
ORDGER0005783,2025-09-04,CUST00029,PROD0162,Beauty,Germany,Europe,EUR,Online,Card,8,95.64,45.11,0.09
ORDGER0005784,07/21/2025,CUST00487,PROD0174,Beauty,Germany,Europe,EUR,In-Store,Google Pay,6,72.61,26.14,0.17
ORDGER0005785,03/23/2025,CUST00033,PROD0020,Electronics,Germany,Europe,EUR,Mobile,Apple Pay,9,1705.61,1143.17,0.07
ORDGER0005786,18/06/2025,CUST00030,PROD0191,Sports,Germany,Europe,EUR,Online,Bank Transfer,5,298.56,173.03,0.12
ORDGER0005787,19/09/2025,CUST00489,PROD0017,Electronics,Germany,Europe,EUR,Online,Google Pay,1,184.19,116.82,0.3
ORDGER0005788,2025-02-01,CUST00492,PROD0042,Electronics,Germany,Europe,EUR,Online,Card,1,747.95,406.86,0.03
ORDGER0005789,2025-01-17,CUST00062,PROD0128,Home,Germany,Europe,EUR,In-Store,Card,3,154.72,86.55,0.02
ORDGER0005790,01/05/2025,CUST00291,PROD0113,Home,Germany,Europe,EUR,Mobile,Bank Transfer,2,242.89,130.79,0.26
ORDGER0005791,25/04/2025,CUST00077,PROD0081,Fashion,Germany,Europe,EUR,In-Store,Bank Transfer,10,64.64,28.36,0.25
ORDGER0005792,2025-06-04,CUST00438,PROD0096,Fashion,Germany,Europe,EUR,Mobile,PayPal,3,296.52,122.11,0.21
ORDGER0005793,2025-05-30,CUST00185,PROD0041,Electronics,Germany,Europe,EUR,Online,Card,4,1800.67,1086.36,0.05
ORDGER0005794,15/01/2025,CUST00441,PROD0060,Electronics,Germany,Europe,EUR,In-Store,Card,4,1762.16,908.6,0.01
ORDGER0005795,2025-08-08,CUST00497,PROD0114,Home,Germany,Europe,EUR,Mobile,Card,5,206.4,104.22,0.19
ORDGER0005796,2025-09-27,CUST00330,PROD0098,Fashion,Germany,Europe,EUR,Online,Google Pay,8,377.41,157.42,0.21
ORDGER0005797,06/25/2025,CUST00371,PROD0139,Home,Germany,Europe,EUR,Online,Apple Pay,5,359.49,176.77,0.05
ORDGER0005798,12/27/2025,CUST00067,PROD0076,Fashion,Germany,Europe,EUR,In-Store,Card,4,49.28,24.83,0.11
ORDGER0005799,05/12/2025,CUST00041,PROD0127,Home,Germany,Europe,EUR,Mobile,Card,2,379.61,172.11,0.12
ORDGER0005800,12/19/2025,CUST00202,PROD0200,Sports,Germany,Europe,EUR,Online,PayPal,6,119.53,54.77,0.13
ORDGER0005711,2025-07-25,CUST00328,PROD0077,Fashion,Germany,Europe,EUR,Online,PayPal,1,206.72,101.99,0.11
ORDGER0005801,2025-03-02,CUST00441,PROD0188,Sports,Germany,Europe,EUR,Mobile,Apple Pay,6,33.7,16.7,0.03
ORDGER0005802,04/10/2025,CUST00032,PROD0107,Home,Germany,Europe,EUR,Online,Card,2,73.95,35.31,0.29
ORDGER0005803,02/26/2025,CUST00221,PROD0074,Fashion,Germany,Europe,EUR,Mobile,Bank Transfer,8,53.9,21.04,0.12
