order_id,order_date,customer_id,product_id,product_category,country,region,currency_code,sales_channel,payment_method,quantity,unit_price_local,cost_per_unit_local,discount_pct
ORDSIN0015503,2025-10-21,CUST00380,PROD0021,Electronics,Singapore,Asia-Pacific,SGD,In-Store,PayPal,4,1628.55,954.29,0.26
ORDSIN0015504,14/10/2025,CUST00192,PROD0186,Sports,Singapore,Asia-Pacific,SGD,Online,Apple Pay,2,27.79,14.85,0.01
ORDSIN0015505,18/06/2025,CUST00130,PROD0096,Fashion,Singapore,Asia-Pacific,SGD,Online,Bank Transfer,7,357.93,136.03,0.22
ORDSIN0015506,2025-03-30,CUST00475,PROD0105,Fashion,Singapore,Asia-Pacific,SGD,Online,Bank Transfer,7,297.7,134.77,0.15
ORDSIN0015507,12/08/2025,CUST00069,PROD0181,Sports,Singapore,Asia-Pacific,SGD,Online,Cash,2,89.64,43.17,0.02
ORDSIN0015508,2025-02-14,CUST00139,PROD0105,Fashion,Singapore,Asia-Pacific,SGD,Online,Google Pay,4,70.72,34.76,0.26
ORDSIN0015509,07/15/2025,CUST00260,PROD0043,Electronics,Singapore,Asia-Pacific,SGD,In-Store,Bank Transfer,7,2243.66,1275.13,0.01
ORDSIN0015510,01/29/2025,CUST00021,PROD0019,Electronics,Singapore,Asia-Pacific,SGD,In-Store,Card,8,2251.75,1196.3,0.23
ORDSIN0015511,07/29/2025,CUST00496,PROD0101,Fashion,Singapore,Asia-Pacific,SGD,Online,PayPal,7,157.36,67.09,0.03
ORDSIN0015512,2025-01-15,CUST00174,PROD0069,Fashion,Singapore,Asia-Pacific,SGD,Online,Card,3,271.84,110.73,0.24
ORDSIN0015513,2025-08-19,CUST00377,PROD0020,Electronics,Singapore,Asia-Pacific,SGD,In-Store,Card,10,1809.53,1124.78,0.04
ORDSIN0015514,2025-12-20,CUST00102,PROD0071,Fashion,Singapore,Asia-Pacific,SGD,Online,Apple Pay,1,207.45,82.51,0.08
ORDSIN0015515,26/07/2025,CUST00091,PROD0036,Electronics,Singapore,Asia-Pacific,SGD,Online,Bank Transfer,5,569.88,293.85,0.27
ORDSIN0015516,10/08/2025,CUST00316,PROD0019,Electronics,Singapore,Asia-Pacific,SGD,Mobile,Bank Transfer,5,1316.29,700.67,0.3
ORDSIN0015517,06/09/2025,CUST00084,PROD0027,Electronics,Singapore,Asia-Pacific,SGD,Mobile,Apple Pay,7,1629.46,940.91,0.19
ORDSIN0015518,03/14/2025,CUST00426,PROD0036,Electronics,Singapore,Asia-Pacific,SGD,Online,Apple Pay,5,345.42,176.05,0.01
ORDSIN0015519,2025-11-09,CUST00387,PROD0147,Beauty,Singapore,Asia-Pacific,SGD,Online,Bank Transfer,4,92.16,31.29,0.03
ORDSIN0015520,07/25/2025,CUST00027,PROD0065,Fashion,Singapore,Asia-Pacific,SGD,Online,Bank Transfer,5,333.11,167.86,0.16
ORDSIN0015521,09/13/2025,CUST00196,PROD0158,Beauty,Singapore,Asia-Pacific,SGD,In-Store,Card,1,146.97,65.63,0.02
ORDSIN0015522,08/12/2025,CUST00476,PROD0050,Electronics,Singapore,Asia-Pacific,SGD,In-Store,Card,7,997.07,576.33,0.2
ORDSIN0015523,04/25/2025,CUST00424,PROD0200,Sports,Singapore,Asia-Pacific,SGD,In-Store,Card,9,76.12,33.11,0.05
ORDSIN0015524,2025-09-26,CUST00132,PROD0026,Electronics,Singapore,Asia-Pacific,SGD,Online,PayPal,4,1963.31,1031.48,0.2
ORDSIN0015525,12/02/2025,CUST00498,PROD0152,Beauty,Singapore,Asia-Pacific,SGD,In-Store,Card,1,48.95,19.79,0.22
ORDSIN0015526,10/06/2025,CUST00215,PROD0014,Electronics,Singapore,Asia-Pacific,SGD,Online,Card,10,2170.33,1243.33,0.19
