order_id,order_date,customer_id,product_id,product_category,country,region,currency_code,sales_channel,payment_method,quantity,unit_price_local,cost_per_unit_local,discount_pct
ORDUAE0013257,05/25/2025,CUST00070,PROD0035,Electronics,UAE,Middle East,AED,Online,Cash,2,1297.97,783.09,0.0
ORDUAE0013258,2025-03-09,CUST00067,PROD0171,Beauty,UAE,Middle East,AED,Online,PayPal,4,88.27,29.27,0.17
ORDUAE0013259,03/23/2025,CUST00258,PROD0091,Fashion,UAE,Middle East,AED,In-Store,Apple Pay,4,319.55,153.61,0.03
ORDUAE0013260,09/08/2025,CUST00250,PROD0145,Home,UAE,Middle East,AED,Mobile,Card,1,140.35,79.79,
ORDUAE0013261,11/15/2025,CUST00422,PROD0159,Beauty,UAE,Middle East,AED,In-Store,Card,10,125.32,45.71,0.23
ORDUAE0013262,02/14/2025,CUST00080,PROD0077,Fashion,UAE,Middle East,AED,Mobile,Apple Pay,9,211.81,91.28,0.15
ORDUAE0013263,03/04/2025,CUST00016,PROD0149,Beauty,UAE,Middle East,AED,Online,Card,9,144.73,70.72,
ORDUAE0013264,24/01/2025,CUST00426,PROD0147,Beauty,UAE,Middle East,AED,Online,Apple Pay,5,88.62,34.77,0.28
ORDUAE0013265,03/23/2025,CUST00276,PROD0122,Home,UAE,Middle East,AED,Online,Bank Transfer,9,350.5,199.46,0.01
ORDUAE0013266,2025-05-12,CUST00136,PROD0099,Fashion,UAE,Middle East,AED,In-Store,Card,4,291.97,117.95,0.04
ORDUAE0013267,14/08/2025,CUST00270,PROD0011,Electronics,UAE,Middle East,AED,Online,Google Pay,4,233.15,147.56,0.28
ORDUAE0013268,2025-10-24,CUST00468,PROD0124,Home,UAE,Middle East,AED,In-Store,Google Pay,10,202.09,103.93,0.12
ORDUAE0013269,03/12/2025,CUST00479,PROD0119,Home,UAE,Middle East,AED,Mobile,PayPal,10,517.69,222.14,0.12
ORDUAE0013270,11/08/2025,CUST00128,PROD0149,Beauty,UAE,Middle East,AED,Online,Google Pay,6,163.57,79.63,0.18
ORDUAE0013271,02/06/2025,CUST00289,PROD0073,Fashion,UAE,Middle East,AED,Mobile,PayPal,2,399.5,213.7,0.1
ORDUAE0013272,08/17/2025,CUST00122,PROD0083,Fashion,UAE,Middle East,AED,Online,Card,10,121.93,50.21,0.22
ORDUAE0013273,04/16/2025,CUST00288,PROD0140,Home,UAE,Middle East,AED,Online,PayPal,6,206.31,90.35,0.01
ORDUAE0013274,13/01/2025,CUST00172,PROD0012,Electronics,UAE,Middle East,AED,Online,Google Pay,3,2143.91,1435.24,0.11
ORDUAE0013275,2025-11-03,CUST00475,PROD0054,Electronics,UAE,Middle East,AED,Online,Card,10,275.55,144.92,0.18
ORDUAE0013276,2025-03-02,CUST00386,PROD0087,Fashion,UAE,Middle East,AED,Mobile,Google Pay,5,310.16,143.79,0.21
ORDUAE0013277,2025-11-30,CUST00142,PROD0003,Electronics,UAE,Middle East,AED,Mobile,Bank Transfer,8,498.85,258.91,0.29
ORDUAE0013278,15/06/2025,CUST00326,PROD0064,Fashion,UAE,Middle East,AED,Mobile,Card,5,49.28,26.51,0.05
ORDUAE0013279,2025-07-20,CUST00187,PROD0028,Electronics,UAE,Middle East,AED,Online,PayPal,3,2084.29,1271.19,0.18
ORDUAE0013280,11/10/2025,CUST00161,PROD0027,Electronics,UAE,Middle East,AED,In-Store,Card,5,957.71,581.28,0.29
ORDUAE0013281,08/02/2025,CUST00054,PROD0004,Electronics,UAE,Middle East,AED,Online,Card,10,1173.08,699.49,0.27
ORDUAE0013282,2025-02-24,CUST00245,PROD0130,Home,UAE,Middle East,AED,Online,Card,7,186.07,110.55,0.05
ORDUAE0013283,07/25/2025,CUST00500,PROD0127,Home,UAE,Middle East,AED,Online,PayPal,1,269.43,158.5,0.24
ORDUAE0013284,08/15/2025,CUST00462,PROD0080,Fashion,UAE,Middle East,AED,Online,Bank Transfer,1,240.25,97.71,0.08
ORDUAE0013285,01/08/2025,CUST00018,PROD0004,Electronics,UAE,Middle East,AED,In-Store,Bank Transfer,5,2407.48,1358.27,0.17
ORDUAE0013286,31/05/2025,CUST00054,PROD0074,Fashion,UAE,Middle East,AED,Online,Apple Pay,10,342.67,137.59,0.12
ORDUAE0013287,2025-04-14,CUST00117,PROD0089,Fashion,UAE,Middle East,AED,In-Store,Card,7,354.16,193.31,0.2
ORDUAE0013288,2025-04-26,CUST00440,PROD0172,Beauty,UAE,Middle East,AED,Mobile,Card,8,141.15,53.62,0.21
ORDUAE0013289,11/26/2025,CUST00094,PROD0124,Home,UAE,Middle East,AED,Online,Apple Pay,7,514.41,244.65,0.21
ORDUAE0013290,2025-08-31,CUST00314,PROD0042,Electronics,UAE,Middle East,AED,Mobile,PayPal,9,2173.04,1287.44,0.14
ORDUAE0013291,02/13/2025,CUST00175,PROD0094,Fashion,UAE,Middle East,AED,Online,Bank Transfer,2,330.84,130.81,0.18
ORDUAE0013292,13/08/2025,CUST00004,PROD0134,Home,UAE,Middle East,AED,Online,PayPal,6,92.14,49.33,0.03
ORDUAE0013293,06/06/2025,CUST00440,PROD0014,Electronics,UAE,Middle East,AED,Online,Card,3,660.98,424.91,0.3
ORDUAE0013294,2025-02-27,CUST00088,PROD0130,Home,UAE,Middle East,AED,Online,PayPal,9,294.0,152.81,0.18
ORDUAE0013295,12/20/2025,CUST00171,PROD0192,Sports,UAE,Middle East,AED,Online,Card,10,54.75,30.45,0.22
ORDUAE0013296,15/05/2025,CUST00495,PROD0067,Fashion,UAE,Middle East,AED,Online,Card,8,263.14,100.33,
ORDUAE0013297,2025-10-03,CUST00291,PROD0051,Electronics,UAE,Middle East,AED,In-Store,Card,-3,1332.54,798.13,0.01
ORDUAE0013288,2025-08-24,CUST00433,PROD0051,Electronics,UAE,Middle East,AED,Online,PayPal,4,2132.3,1431.52,0.23
ORDUAE0013298,17/02/2025,CUST00317,PROD0151,Beauty,UAE,Middle East,AED,Online,PayPal,8,145.8,46.81,0.08
ORDUAE0013299,01/01/2025,CUST00179,PROD0115,Home,UAE,Middle East,AED,In-Store,Cash,8,329.3,193.61,0.08
ORDUAE0013300,12/11/2025,CUST00379,PROD0149,Beauty,UAE,Middle East,AED,Online,Apple Pay,10,139.96,46.58,0.16
ORDUAE0013301,2025-03-12,CUST00459,PROD0083,Fashion,UAE,Middle East,AED,In-Store,Apple Pay,2,155.17,64.09,0.08
ORDUAE0013302,2025-05-07,CUST00453,PROD0027,Electronics,UAE,Middle East,AED,In-Store,Card,10,2375.29,1482.76,0.04
ORDUAE0013303,06/24/2025,CUST00323,PROD0073,Fashion,UAE,Middle East,AED,Online,Card,1,148.35,57.76,0.19
ORDUAE0013304,2025-05-20,CUST00268,PROD0008,Electronics,UAE,Middle East,AED,Online,Cash,4,1471.29,958.49,0.13
ORDUAE0013305,17/01/2025,CUST00442,PROD0027,Electronics,UAE,Middle East,AED,Mobile,Card,8,172.19,88.28,0.11
ORDUAE0013306,09/03/2025,CUST00242,PROD0100,Fashion,UAE,Middle East,AED,Mobile,Bank Transfer,9,64.35,26.5,0.18
ORDUAE0013307,2025-01-24,CUST00162,PROD0002,Electronics,UAE,Middle East,AED,Online,PayPal,1,675.54,414.14,0.17
ORDUAE0013308,2025-03-22,CUST00096,PROD0094,Fashion,UAE,Middle East,AED,Online,Card,2,58.36,25.85,0.2
ORDUAE0013309,18/08/2025,CUST00319,PROD0151,Beauty,UAE,Middle East,AED,In-Store,Google Pay,9,35.98,17.81,0.19
ORDUAE0013310,10/25/2025,CUST00424,PROD0145,Home,UAE,Middle East,AED,Online,Card,10,269.23,126.01,0.25
ORDUAE0013311,12/07/2025,CUST00500,PROD0180,Sports,UAE,Middle East,AED,In-Store,PayPal,9,41.88,21.2,0.27
ORDUAE0013312,2025-09-05,CUST00220,PROD0021,Electronics,UAE,Middle East,AED,Online,Apple Pay,7,878.34,582.43,0.25
ORDUAE0013313,02/22/2025,CUST00179,PROD0072,Fashion,UAE,Middle East,AED,Online,Google Pay,8,99.84,45.88,0.15
ORDUAE0013314,23/09/2025,CUST00228,PROD0105,Fashion,UAE,Middle East,AED,Online,Card,1,142.84,75.76,0.02
ORDUAE0013315,22/01/2025,CUST00148,PROD0028,Electronics,UAE,Middle East,AED,Online,PayPal,5,1719.8,1026.88,0.0
ORDUAE0013316,2025-11-06,CUST00344,PROD0187,Sports,UAE,Middle East,AED,Online,Bank Transfer,4,175.23,85.9,0.14
ORDUAE0013317,10/27/2025,CUST00001,PROD0058,Electronics,UAE,Middle East,AED,In-Store,Apple Pay,3,2138.98,1264.61,0.04
ORDUAE0013318,2025-09-15,CUST00240,PROD0046,Electronics,UAE,Middle East,AED,Mobile,Card,6,255.72,169.97,0.06
ORDUAE0013319,2025-07-06,CUST00126,PROD0195,Sports,UAE,Middle East,AED,Online,PayPal,10,47.93,20.04,0.11
ORDUAE0013320,07/20/2025,CUST00021,PROD0011,Electronics,UAE,Middle East,AED,Online,Apple Pay,6,2056.44,1078.01,0.02
ORDUAE0013321,05/10/2025,CUST00009,PROD0100,Fashion,UAE,Middle East,AED,In-Store,PayPal,3,150.24,66.78,0.1
ORDUAE0013322,19/03/2025,CUST00440,PROD0029,Electronics,UAE,Middle East,AED,Online,Google Pay,8,2476.32,1563.38,0.04
ORDUAE0013323,04/11/2025,CUST00119,PROD0013,Electronics,UAE,Middle East,AED,Online,PayPal,9,534.05,353.99,0.25
ORDUAE0013324,09/06/2025,CUST00317,PROD0033,Electronics,UAE,Middle East,AED,Online,Apple Pay,6,1437.64,899.08,0.14
ORDUAE0013325,08/09/2025,CUST00377,PROD0006,Electronics,UAE,Middle East,AED,Online,Card,1,450.62,299.17,0.11
ORDUAE0013326,2025-11-06,CUST00306,PROD0097,Fashion,UAE,Middle East,AED,Online,PayPal,8,128.89,58.76,0.13
ORDUAE0013327,2025-06-10,CUST00171,PROD0177,Sports,UAE,Middle East,AED,Online,PayPal,10,59.97,31.87,
ORDUAE0013328,2025-07-27,CUST00468,PROD0044,Electronics,UAE,Middle East,AED,In-Store,Card,1,1652.75,1064.83,0.13
ORDUAE0013329,2025-02-28,CUST00286,PROD0007,Electronics,UAE,Middle East,AED,Mobile,Card,8,1382.08,906.05,0.07
ORDUAE0013330,05/08/2025,CUST00333,PROD0175,Beauty,UAE,Middle East,AED,Online,Google Pay,6,86.64,42.84,0.03
ORDUAE0013331,2025-02-28,CUST00219,PROD0071,Fashion,UAE,Middle East,AED,Online,Card,6,155.49,63.23,0.24
ORDUAE0013332,10/08/2025,CUST00248,PROD0103,Fashion,UAE,Middle East,AED,In-Store,PayPal,1,269.08,141.84,0.06
ORDUAE0013333,2025-01-12,CUST00391,PROD0160,Beauty,UAE,Middle East,AED,In-Store,Google Pay,2,151.84,68.52,0.12
ORDUAE0013334,07/10/2025,CUST00292,PROD0150,Beauty,UAE,Middle East,AED,Online,Card,10,121.08,59.02,0.29
ORDUAE0013335,2025-02-13,CUST00417,PROD0185,Sports,UAE,Middle East,AED,Mobile,Cash,5,187.17,89.96,0.24
ORDUAE0013336,01/24/2025,CUST00228,PROD0194,Sports,UAE,Middle East,AED,Mobile,Bank Transfer,2,42.1,20.4,0.04
ORDUAE0013337,04/09/2025,CUST00038,PROD0082,Fashion,UAE,Middle East,AED,Mobile,Card,2,252.0,108.45,0.26
