order_id,order_date,customer_id,product_id,product_category,country,region,currency_code,sales_channel,payment_method,quantity,unit_price_local,cost_per_unit_local,discount_pct
ORDUK0002943,2025-04-24,CUST00289,PROD0010,Electronics,UK,Europe,GBP,Online,PayPal,2,1995.81,1327.5,0.16
ORDUK0002944,2025-09-10,CUST00471,PROD0084,Fashion,UK,Europe,GBP,Mobile,PayPal,3,298.93,154.96,0.23
ORDUK0002945,27/05/2025,CUST00115,PROD0081,Fashion,UK,Europe,GBP,In-Store,PayPal,9,161.62,62.31,0.02
ORDUK0002946,07/29/2025,CUST00397,PROD0185,Sports,UK,Europe,GBP,Mobile,Apple Pay,3,82.19,36.34,0.27
ORDUK0002947,14/04/2025,CUST00278,PROD0076,Fashion,UK,Europe,GBP,Mobile,Card,10,379.33,164.38,0.18
ORDUK0002948,09/15/2025,CUST00241,PROD0071,Fashion,UK,Europe,GBP,In-Store,Card,1,222.01,105.5,0.1
ORDUK0002949,26/12/2025,CUST00417,PROD0150,Beauty,UK,Europe,GBP,Mobile,PayPal,4,18.06,8.81,0.17
ORDUK0002950,17/07/2025,CUST00451,PROD0028,Electronics,UK,Europe,GBP,Online,PayPal,8,1332.63,744.49,0.0
ORDUK0002951,23/05/2025,CUST00396,PROD0124,Home,UK,Europe,GBP,In-Store,PayPal,7,127.96,67.79,0.3
ORDUK0002952,2025-08-15,CUST00122,PROD0107,Home,UK,Europe,GBP,Online,Card,7,239.19,119.78,0.09
ORDUK0002952,29/06/2025,CUST00227,PROD0006,Electronics,UK,Europe,GBP,Online,Card,4,1522.53,991.52,0.28
ORDUK0002953,10/11/2025,CUST00004,PROD0156,Beauty,UK,Europe,GBP,In-Store,Bank Transfer,9,88.26,28.79,0.15
ORDUK0002954,2025-12-20,CUST00318,PROD0118,Home,UK,Europe,GBP,Mobile,PayPal,6,386.41,195.48,0.07
ORDUK0002955,12/24/2025,CUST00055,PROD0030,Electronics,UK,Europe,GBP,Online,Apple Pay,7,1574.12,914.12,0.04
ORDUK0002956,08/19/2025,CUST00395,PROD0096,Fashion,UK,Europe,GBP,Mobile,Card,9,376.33,157.36,0.24
ORDUK0002957,10/21/2025,CUST00425,PROD0047,Electronics,UK,Europe,GBP,Online,Card,4,155.93,102.84,0.17
ORDUK0002958,18/01/2025,CUST00083,PROD0074,Fashion,UK,Europe,GBP,In-Store,Bank Transfer,7,316.89,161.52,0.13
ORDUK0002959,08/12/2025,CUST00405,PROD0082,Fashion,UK,Europe,GBP,Online,PayPal,6,236.55,107.94,0.27
ORDUK0002960,2025-06-13,CUST00423,PROD0001,Electronics,UK,Europe,GBP,In-Store,Bank Transfer,3,981.41,492.81,0.1
ORDUK0002961,2025-09-15,CUST00388,PROD0100,Fashion,UK,Europe,GBP,Online,Bank Transfer,6,223.22,90.56,0.15
ORDUK0002962,2025-01-24,CUST00391,PROD0070,Fashion,UK,Europe,GBP,Online,Card,5,57.12,22.28,0.28
ORDUK0002963,07/14/2025,CUST00046,PROD0026,Electronics,UK,Europe,GBP,In-Store,Card,2,352.08,216.3,0.29
ORDUK0002964,22/05/2025,CUST00071,PROD0046,Electronics,UK,Europe,GBP,In-Store,PayPal,5,938.93,520.31,0.17
ORDUK0002965,2025-10-20,CUST00379,PROD0086,Fashion,UK,Europe,GBP,In-Store,Google Pay,10,321.11,156.08,0.19
ORDUK0002966,09/17/2025,CUST00156,PROD0172,Beauty,UK,Europe,GBP,Mobile,Card,4,105.61,41.46,0.26
ORDUK0002967,09/06/2025,CUST00447,PROD0112,Home,UK,Europe,GBP,In-Store,Card,5,527.86,285.16,0.19
ORDUK0002968,2025-07-25,CUST00010,PROD0132,Home,UK,Europe,GBP,Online,Bank Transfer,1,185.52,84.99,0.21
ORDUK0002969,2025-10-09,CUST00225,PROD0199,Sports,UK,Europe,GBP,In-Store,PayPal,6,54.48,21.89,0.03
ORDUK0002970,04/18/2025,CUST00053,PROD0089,Fashion,UK,Europe,GBP,Online,Card,2,357.83,194.96,0.27
ORDUK0002971,2025-11-17,CUST00475,PROD0055,Electronics,UK,Europe,GBP,Online,Bank Transfer,9,375.44,191.41,0.1
ORDUK0002972,08/13/2025,CUST00395,PROD0187,Sports,UK,Europe,GBP,Online,Google Pay,2,61.99,29.29,0.12
ORDUK0002973,01/07/2025,CUST00259,PROD0143,Home,UK,Europe,GBP,In-Store,Bank Transfer,8,196.85,83.99,0.17
ORDUK0002974,2025-04-29,CUST00484,PROD0090,Fashion,UK,Europe,GBP,Online,Apple Pay,2,374.81,144.77,0.11
ORDUK0002975,10/05/2025,CUST00496,PROD0059,Electronics,UK,Europe,GBP,Online,PayPal,5,766.86,397.89,0.08
ORDUK0002976,03/11/2025,CUST00428,PROD0115,Home,UK,Europe,GBP,In-Store,Card,5,88.33,47.8,0.27
ORDUK0002977,10/13/2025,CUST00127,PROD0135,Home,UK,Europe,GBP,Online,PayPal,3,51.71,23.48,0.06
ORDUK0002978,26/03/2025,CUST00224,PROD0199,Sports,UK,Europe,GBP,Mobile,Apple Pay,1,252.66,123.16,0.04
ORDUK0002979,01/02/2025,CUST00074,PROD0123,Home,UK,Europe,GBP,Online,Card,5,126.76,61.3,0.17
ORDUK0002980,02/15/2025,CUST00477,PROD0070,Fashion,UK,Europe,GBP,In-Store,Google Pay,6,154.25,80.71,0.11
ORDUK0002981,14/03/2025,CUST00473,PROD0187,Sports,UK,Europe,GBP,Online,PayPal,9,230.74,113.5,0.26
ORDUK0002982,08/30/2025,CUST00401,PROD0011,Electronics,UK,Europe,GBP,Online,Card,3,1692.95,911.04,0.03
ORDUK0002983,08/20/2025,CUST00172,PROD0071,Fashion,UK,Europe,GBP,Online,Google Pay,8,368.46,166.92,0.26
ORDUK0002984,2025-10-25,CUST00500,PROD0113,Home,UK,Europe,GBP,Mobile,Apple Pay,8,398.49,200.2,0.21
ORDUK0002985,04/10/2025,CUST00210,PROD0040,Electronics,UK,Europe,GBP,Online,PayPal,8,518.91,340.37,0.27
ORDUK0002986,2025-01-03,CUST00204,PROD0144,Home,UK,Europe,GBP,Online,PayPal,8,401.85,183.91,0.06
ORDUK0002987,24/02/2025,CUST00053,PROD0119,Home,UK,Europe,GBP,Online,Card,1,552.48,287.19,0.06
ORDUK0002988,09/20/2025,CUST00447,PROD0112,Home,UK,Europe,GBP,Online,PayPal,1,128.21,63.62,0.26
ORDUK0002989,2025-11-11,CUST00279,PROD0105,Fashion,UK,Europe,GBP,Mobile,Cash,6,128.51,68.17,0.17
ORDUK0002990,05/14/2025,CUST00367,PROD0076,Fashion,UK,Europe,GBP,Mobile,Bank Transfer,7,315.59,120.58,0.06
ORDUK0002991,01/20/2025,CUST00075,PROD0026,Electronics,UK,Europe,GBP,Online,Cash,3,880.71,591.26,0.18
ORDUK0002992,2025-11-23,CUST00023,PROD0179,Sports,UK,Europe,GBP,Mobile,Card,7,337.35,140.97,0.07
ORDUK0002993,29/09/2025,CUST00364,PROD0004,Electronics,UK,Europe,GBP,Online,Card,10,2241.52,1321.05,0.12
ORDUK0002994,2025-10-16,CUST00110,PROD0063,Fashion,UK,Europe,GBP,Online,PayPal,7,224.12,101.11,0.29
ORDUK0002995,2025-10-13,CUST00043,PROD0026,Electronics,UK,Europe,GBP,Mobile,Card,4,1256.95,672.81,0.29
ORDUK0002996,01/10/2025,CUST00091,PROD0143,Home,UK,Europe,GBP,In-Store,Bank Transfer,1,551.51,265.51,0.2
ORDUK0002997,11/20/2025,CUST00274,PROD0001,Electronics,UK,Europe,GBP,Mobile,Google Pay,9,2089.51,1380.55,0.16
ORDUK0002998,04/29/2025,CUST00233,PROD0110,Home,UK,Europe,GBP,Online,PayPal,3,125.5,70.44,0.04
ORDUK0002999,17/06/2025,CUST00453,PROD0050,Electronics,UK,Europe,GBP,Online,Card,4,1444.07,969.16,0.15
ORDUK0003000,2025-09-17,CUST00294,PROD0006,Electronics,UK,Europe,GBP,Online,Card,8,1433.28,731.46,0.25
ORDUK0003001,08/08/2025,CUST00332,PROD0200,Sports,UK,Europe,GBP,Online,Cash,4,177.75,82.31,0.19
ORDUK0002996,2025-05-05,CUST00097,PROD0163,Beauty,UK,Europe,GBP,Online,Card,8,137.11,67.8,0.02
ORDUK0003002,11/19/2025,CUST00192,PROD0112,Home,UK,Europe,GBP,In-Store,Apple Pay,9,41.32,18.79,0.24
ORDUK0003003,01/10/2025,CUST00004,PROD0077,Fashion,UK,Europe,GBP,Online,Card,10,278.94,152.89,0.1
ORDUK0003004,07/16/2025,CUST00060,PROD0072,Fashion,UK,Europe,GBP,In-Store,Card,5,73.92,32.94,0.07
ORDUK0003005,10/09/2025,CUST00379,PROD0058,Electronics,UK,Europe,GBP,Online,Card,8,434.53,279.36,0.14
ORDUK0003006,2025-11-06,CUST00171,PROD0008,Electronics,UK,Europe,GBP,In-Store,PayPal,10,2255.57,1132.5,0.23
ORDUK0003007,23/11/2025,CUST00136,PROD0075,Fashion,UK,Europe,GBP,Online,PayPal,10,163.41,75.2,0.11
ORDUK0003008,2025-03-18,CUST00217,PROD0107,Home,UK,Europe,GBP,Online,Google Pay,7,308.2,134.87,0.1
ORDUK0003009,09/04/2025,CUST00078,PROD0011,Electronics,UK,Europe,GBP,Mobile,PayPal,5,1512.94,856.47,0.1
ORDUK0003010,2025-11-16,CUST00468,PROD0104,Fashion,UK,Europe,GBP,Mobile,PayPal,6,86.21,47.2,0.14
