order_id,order_date,customer_id,product_id,product_category,country,region,currency_code,sales_channel,payment_method,quantity,unit_price_local,cost_per_unit_local,discount_pct
ORDUSA0000001,05/06/2025,CUST00112,PROD0018,Electronics,USA,North America,USD,Online,Card,9,354.31,204.06,
ORDUSA0000002,2025-04-12,CUST00217,PROD0141,Home,USA,North America,USD,In-Store,PayPal,10,195.79,112.87,0.05
ORDUSA0000003,06/22/2025,CUST00473,PROD0049,Electronics,USA,North America,USD,Online,Card,10,771.62,391.84,0.04
ORDUSA0000004,13/11/2025,CUST00195,PROD0101,Fashion,USA,North America,USD,In-Store,Apple Pay,4,314.9,172.4,0.26
ORDUSA0000005,25/03/2025,CUST00195,PROD0129,Home,USA,North America,USD,Online,Bank Transfer,2,381.11,171.81,0.05
ORDUSA0000006,10/13/2025,CUST00468,PROD0198,Sports,USA,North America,USD,In-Store,Apple Pay,4,291.19,158.67,0.02
ORDUSA0000007,2025-04-19,CUST00300,PROD0156,Beauty,USA,North America,USD,Online,Google Pay,3,55.03,20.05,0.08
ORDUSA0000008,04/23/2025,CUST00198,PROD0084,Fashion,USA,North America,USD,In-Store,Card,2,82.32,33.52,0.18
ORDUSA0000009,2025-05-09,CUST00081,PROD0192,Sports,USA,North America,USD,Mobile,Card,9,267.79,144.16,0.09
ORDUSA0000010,2025-05-15,CUST00083,PROD0199,Sports,USA,North America,USD,In-Store,PayPal,5,297.75,146.31,0.11
ORDUSA0000011,2025-01-01,CUST00375,PROD0139,Home,USA,North America,USD,Online,Card,5,174.09,80.67,0.02
ORDUSA0000012,09/30/2025,CUST00387,PROD0049,Electronics,USA,North America,USD,Online,PayPal,5,1390.03,846.79,0.28
ORDUSA0000013,2025-07-24,CUST00284,PROD0020,Electronics,USA,North America,USD,In-Store,PayPal,2,732.58,374.73,
ORDUSA0000014,2025-12-29,CUST00068,PROD0005,Electronics,USA,North America,USD,Online,Card,6,316.51,171.81,0.06
ORDUSA0000015,08/31/2025,CUST00028,PROD0164,Beauty,USA,North America,USD,In-Store,Apple Pay,2,122.03,46.83,0.26
